"","core","stockwc","maxd","stock","stock_se"
"206","PC-03",0.749158565436011,33.0684850301452,2.35961532385286,0.0213740736083789
"207","PC-04",0.524222701950309,34.340349838997,1.56221432556901,0.0192118779715474
"208","PLL22_1",2.95063672427275,136.335078538029,2.01879706467527,NA
"209","PLL22_10",3.70774541423682,134.99999999325,2.26549049772621,NA
"210","PLL22_12",2.80235179081151,136.901408452247,2.12069304386549,NA
"211","PLL22_13",1.79750956339792,83.5294117594648,2.11394174374029,0.0429058087264493
"212","PLL22_14",2.25433545810053,92.7027027047071,2.31842834837237,0.084299398749671
"213","PLL22_15",3.4052149640674,120.533333325941,2.54793043329765,NA
"214","PLL22_16PI",1.76690658852544,82.499999995875,2.07903614931287,0.0774941131720426
"215","PLL22_2",3.28322481853486,137.880341887413,2.29982124918966,NA
"216","PLL22_22",0.749595943294144,80.2653061265441,0.944288646314682,0.0161068384231105
"217","PLL22_23",1.13942757808299,101.250000005569,1.12267825450542,NA
"218","PLL22_24",1.22699241047135,132.216494848768,0.915836081790024,NA
"219","PLL22_CC3",2.72328164128349,125.787610621027,2.21110220220529,NA
"220","PLL22_CC4",1.53753226902132,113.333333333333,1.26464910684037,NA
"221","PLL22_CC5",1.35704232938677,106.088888890775,1.2798618023356,NA
"222","PLL22_CC6",2.00803471786729,136.938271598176,1.4129679730347,NA
"223","PLL22_GR",13.3937537032962,341.615646244211,5.01820741479549,NA
"224","PLL22_MD",11.7698578677272,365.86956523648,2.09489928134227,NA
"225","PLL22_PLZ1",3.03410101522278,111.428571436133,2.72151248853207,NA
"226","PLL22_PLZ2",3.41546519145275,124.640000007977,2.70842184459696,NA
"227","PLL22_PLZ3",3.62811710756526,106.597402596018,3.28052438831033,NA
"228","PO-03",1.13700060813197,56.5389406958751,1.98611302790506,0.00860434105170517
"229","PO-05",1.02331022113462,61.1231791306758,1.69138193006804,0.00917710903672878
"230","PO-06",0.989686689840281,44.3143048697399,2.27356248352761,0.0246712357398564
"231","R_M1",1.03442518830392,37.8750000005595,2.0783031545969,0.176552195881225
"232","R_M2",0.680096015100344,29.6193181812881,1.92095394162783,0.137216927361293
"233","R_M3",0.87345145509527,34.5800524947997,2.70259363438101,0.113917355753598
"234","ria_de_vigo_a_ramallosa_a",0.919587770861738,50,1.99876621812364,0.0511982441818447
"235","RO.CN",0.113456444308438,174.520069808028,0.0659045252988365,NA
"236","RO.E",1.23127520947663,117.484450587422,1.05778853992812,NA
"237","RO.I-A",3.80455203448699,260,1.64129648745482,NA
"238","RO.I-B",4.00153140599538,310,1.45102410130624,NA
"239","RO.I-C",0.754378698808459,45.0400355871886,1.56599345114928,0.0279973604048441
"240","RO.IB-A",5.51137887006987,190,2.89611661873861,NA
"241","RO.IB-C",1.70689250162857,124,1.5763948491138,NA
"242","RO.IR-A",1.59337624737124,103.340543138669,1.58736968471791,NA
"243","RO.IR-B",2.00408327307886,85.8223555497587,2.48168318109041,0.0927174581533102
"244","RO.IR-C",1.13170869653974,95.5336661719066,1.26496058799054,0.0713268076964831
"245","RO.IS-A",0.631100013121416,110,0.57308502390087,NA
"246","RO.IS-B",1.64663635012614,305,0.67287243831391,NA
"247","RO.S-A",2.9901524995625,138.603696098563,2.14619015178594,NA
"248","RO.S-B",3.52621370122858,102.757619738752,3.44577135169927,NA
